,Ws_avg
2013-07-01 01:00:00+00:00,0.0
2013-07-01 01:10:00+00:00,0.0
2013-07-01 01:20:00+00:00,0.0
2013-07-01 01:30:00+00:00,0.0
2013-07-01 01:40:00+00:00,0.0
2013-07-01 01:50:00+00:00,0.0
2013-07-01 02:00:00+00:00,0.34
2013-07-01 02:10:00+00:00,0.68
2013-07-01 02:20:00+00:00,1.02
2013-07-01 02:30:00+00:00,1.32
2013-07-01 02:40:00+00:00,1.62
2013-07-01 02:50:00+00:00,1.92
2013-07-01 03:00:00+00:00,2.010000033333333
2013-07-01 03:10:00+00:00,2.1000000666666665
2013-07-01 03:20:00+00:00,2.1900001
2013-07-01 03:30:00+00:00,2.3099999
2013-07-01 03:40:00+00:00,2.6099999
2013-07-01 03:50:00+00:00,2.9100001
2013-07-01 04:00:00+00:00,2.7833334
2013-07-01 04:10:00+00:00,2.6566667
2013-07-01 04:20:00+00:00,2.53
2013-07-01 04:30:00+00:00,2.2775
2013-07-01 04:40:00+00:00,2.025
2013-07-01 04:50:00+00:00,1.7725
2013-07-01 05:00:00+00:00,1.52
2013-07-01 05:10:00+00:00,1.306666665
2013-07-01 05:20:00+00:00,1.09333333
2013-07-01 05:30:00+00:00,0.879999995
2013-07-01 05:40:00+00:00,0.6666666600000001
2013-07-01 05:50:00+00:00,0.453333325
2013-07-01 06:00:00+00:00,0.23999999
2013-07-01 06:10:00+00:00,0.286666655
2013-07-01 06:20:00+00:00,0.33333332
2013-07-01 06:30:00+00:00,0.379999985
2013-07-01 06:40:00+00:00,0.42666665
2013-07-01 06:50:00+00:00,0.473333315
2013-07-01 07:00:00+00:00,0.51999998
2013-07-01 07:10:00+00:00,0.5866666633333334
2013-07-01 07:20:00+00:00,0.6533333466666666
2013-07-01 07:30:00+00:00,0.72000003
2013-07-01 07:40:00+00:00,1.505000015
2013-07-01 07:50:00+00:00,2.29
2013-07-01 08:00:00+00:00,1.7833333266666669
2013-07-01 08:10:00+00:00,1.2766666533333335
2013-07-01 08:20:00+00:00,0.76999998
2013-07-01 08:30:00+00:00,1.11999999
2013-07-01 08:40:00+00:00,1.47
2013-07-01 08:50:00+00:00,1.47
2013-07-01 09:00:00+00:00,1.46
2013-07-01 09:10:00+00:00,1.45
2013-07-01 09:20:00+00:00,1.190000005
2013-07-01 09:30:00+00:00,0.93000001
2013-07-01 09:40:00+00:00,0.0
2013-07-01 09:50:00+00:00,0.0157142857142857
2013-07-01 10:00:00+00:00,0.0314285714285714
2013-07-01 10:10:00+00:00,0.0471428571428571
2013-07-01 10:20:00+00:00,0.0628571428571428
2013-07-01 10:30:00+00:00,0.0785714285714285
2013-07-01 10:40:00+00:00,0.0942857142857142
2013-07-01 10:50:00+00:00,0.11
2013-07-01 11:00:00+00:00,0.1257142857142857
2013-07-01 11:10:00+00:00,0.1414285714285714
2013-07-01 11:20:00+00:00,0.1571428571428571
2013-07-01 11:30:00+00:00,0.1728571428571428
2013-07-01 11:40:00+00:00,0.1885714285714285
2013-07-01 11:50:00+00:00,0.2042857142857143
2013-07-01 12:00:00+00:00,0.22
2013-07-01 12:10:00+00:00,0.46499999
2013-07-01 12:20:00+00:00,0.70999998
2013-07-01 12:30:00+00:00,0.07
2013-07-01 12:40:00+00:00,0.035
2013-07-01 12:50:00+00:00,0.0
2013-07-01 13:00:00+00:00,0.035
2013-07-01 13:10:00+00:00,0.07
2013-07-01 13:20:00+00:00,0.34666666
2013-07-01 13:30:00+00:00,0.62333332
2013-07-01 13:40:00+00:00,0.89999998
2013-07-01 13:50:00+00:00,0.65999999
2013-07-01 14:00:00+00:00,0.42
2013-07-01 14:10:00+00:00,0.18000001
2013-07-01 14:20:00+00:00,1.190000005
2013-07-01 14:30:00+00:00,2.2
2013-07-01 14:40:00+00:00,2.1199999
2013-07-01 14:50:00+00:00,2.8
2013-07-01 15:00:00+00:00,3.38999995
2013-07-01 15:10:00+00:00,3.9799999
2013-07-01 15:20:00+00:00,4.569999849999999
2013-07-01 15:30:00+00:00,5.1599998
2013-07-01 15:40:00+00:00,5.0566665
2013-07-01 15:50:00+00:00,4.9533332
2013-07-01 16:00:00+00:00,4.8499999
2013-07-01 16:10:00+00:00,4.613333233333334
2013-07-01 16:20:00+00:00,4.376666566666667
2013-07-01 16:30:00+00:00,4.1399999
2013-07-01 16:40:00+00:00,3.96499995
2013-07-01 16:50:00+00:00,3.79
2013-07-01 17:00:00+00:00,3.61500005
2013-07-01 17:10:00+00:00,3.4400001
2013-07-01 17:20:00+00:00,3.895
2013-07-01 17:30:00+00:00,4.3499999
2013-07-01 17:40:00+00:00,4.0599999
2013-07-01 17:50:00+00:00,4.23399988
2013-07-01 18:00:00+00:00,4.40799986
2013-07-01 18:10:00+00:00,4.58199984
2013-07-01 18:20:00+00:00,4.75599982
2013-07-01 18:30:00+00:00,4.9299998
2013-07-01 18:40:00+00:00,5.1599998
2013-07-01 18:50:00+00:00,5.009999949999999
2013-07-01 19:00:00+00:00,4.8600001
2013-07-01 19:10:00+00:00,4.6200001
2013-07-01 19:20:00+00:00,4.3800001
2013-07-01 19:30:00+00:00,4.6399999
2013-07-01 19:40:00+00:00,4.6999998
2013-07-01 19:50:00+00:00,4.533333133333333
2013-07-01 20:00:00+00:00,4.366666466666667
2013-07-01 20:10:00+00:00,4.1999998
2013-07-01 20:20:00+00:00,3.5633332
2013-07-01 20:30:00+00:00,2.9266666
2013-07-01 20:40:00+00:00,2.29
2013-07-01 20:50:00+00:00,1.92
2013-07-01 21:00:00+00:00,1.55
2013-07-01 21:10:00+00:00,1.7766666666666666
2013-07-01 21:20:00+00:00,2.0033333333333334
2013-07-01 21:30:00+00:00,2.23
2013-07-01 21:40:00+00:00,2.08500005
2013-07-01 21:50:00+00:00,1.9400001
2013-07-01 22:00:00+00:00,1.2933334
2013-07-01 22:10:00+00:00,0.6466666999999999
2013-07-01 22:20:00+00:00,0.0
2013-07-01 22:30:00+00:00,0.0
2013-07-01 22:40:00+00:00,0.0
2013-07-01 22:50:00+00:00,0.0
2013-07-01 23:00:00+00:00,0.0
2013-07-01 23:10:00+00:00,0.0
2013-07-01 23:20:00+00:00,0.0
2013-07-01 23:30:00+00:00,0.340000005
2013-07-01 23:40:00+00:00,0.68000001
2013-07-01 23:50:00+00:00,1.05
2013-07-02 00:00:00+00:00,0.7033333332666667
2013-07-02 00:10:00+00:00,0.3566666665333333
2013-07-02 00:20:00+00:00,0.0099999998
2013-07-02 00:30:00+00:00,2.0
2013-07-02 00:40:00+00:00,2.0999999
2013-07-02 00:50:00+00:00,2.3099999
2013-07-02 01:00:00+00:00,2.4000001
2013-07-02 01:10:00+00:00,2.41800008
2013-07-02 01:20:00+00:00,2.43600006
2013-07-02 01:30:00+00:00,2.4540000400000004
2013-07-02 01:40:00+00:00,2.4720000200000003
2013-07-02 01:50:00+00:00,2.49
2013-07-02 02:00:00+00:00,2.6400001
2013-07-02 02:10:00+00:00,2.276666733333333
2013-07-02 02:20:00+00:00,1.9133333666666663
2013-07-02 02:30:00+00:00,1.55
2013-07-02 02:40:00+00:00,2.1700001
2013-07-02 02:50:00+00:00,1.6800001
2013-07-02 03:00:00+00:00,1.1900001
2013-07-02 03:10:00+00:00,1.94500005
2013-07-02 03:20:00+00:00,2.7
